month,year,count
Feb, 2022, 1787
Sep, 2022, 2873
Dec, 2022, 2731
Jun, 2022, 2505
May, 2022, 2453
Jan, 2022, 3004
Apr, 2022, 1905
Mar, 2022, 2480
Nov, 2022, 1897
Aug, 2022, 2508
Jul, 2022, 2367
Oct, 2022, 2007
Dec, 2019, 2626
Jan, 2023, 2510
Feb, 2023, 1864
Mar, 2023, 1375
May, 2023, 2738
Apr, 2023, 1740
Sep, 2020, 1680
Oct, 2020, 1961
May, 2020, 1628
Jun, 2020, 1472
Apr, 2020, 1050
Nov, 2020, 1728
Aug, 2020, 1720
Feb, 2020, 2715
Dec, 2020, 1445
Mar, 2020, 3347
Jan, 2020, 3087
Jul, 2020, 1787
May, 2021, 2252
Jul, 2021, 2706
Apr, 2021, 2008
Nov, 2021, 1342
Oct, 2021, 1807
Aug, 2021, 1927
Jan, 2021, 1735
Dec, 2021, 1267
Mar, 2021, 1595
Feb, 2021, 1266
Jun, 2021, 1763
Sep, 2021, 1140
